Test:,frags,Summary Stats,Reps:,300
Algorithm,Mean Accuracy,Standard Deviation
Random Forest,77.01149425287358,3.4941867053626194
Extra Trees,77.85632183908046,3.3300667704219316
SVM - Linear,77.01149425287358,3.159874435377304
SVM - RBF,78.98850574712644,3.202516268580359
Neural Network,77.93965517241381,3.324864141830907
Linear Discriminant Analysis,76.27298850574714,3.246555488406914
Gaussian Naive Bayes,72.33620689655173,3.5775238881153073
K-Nearest Neighbor,77.08333333333334,3.163106610144053
