Test:,frags_break_level_vars_only,Summary Stats,Reps:,300
Algorithm,Mean Accuracy,Standard Deviation
Random Forest,76.75287356321839,3.4966671559686753
Extra Trees,77.0948275862069,3.51569509057272
SVM - Linear,75.81609195402298,3.5014388451028964
SVM - RBF,77.30459770114942,3.5432281302930946
Neural Network,76.82183908045977,3.74583487366695
Linear Discriminant Analysis,74.52298850574714,3.7398782235122323
Gaussian Naive Bayes,69.08045977011494,4.1512795551221
K-Nearest Neighbor,75.61494252873564,3.7817707752923884
